Air Flow,Bearing Type,Color,Features,Kind,LED Color,Link,Manufacturer,Model,Name,Noise Level,Part #,Prices,RPM,Size,Static Pressure,avg,short_link,fan_size,air_flow,max_flow,min_flow,rpm,rpm_min,rpm_max,noise,has_LED,static_pressure
67.8 CFM,Hydraulic,Black,"Static Pressure (mm/H2O): 0.84 mm/H2O<br/>Power Draw (@ +12V): 0.1A<br/>The AF140 Quiet Edition is a great choice for a quiet side panel intake or case exhaust, or even a 'pull' fan for a radiator or heatsink.<br/>Eleven ultra-thin blades for excellent airflow at very low noise levels.<br/>Custom fan enclosure for ducting air in the right direction with minimal interference.<br/>Advanced Hydraulic Bearing for reliable, quiet operation.<br/>Rubberized corners for sound damping when installed with standard screws.<br/>User-replaceable colored rings so you can match your fans to your case<br/>Included voltage step-down adapter for even quieter operation.",Case Fan,,/product/yYkD4D/corsair-case-fan-co9050009ww,Corsair,Air Series AF140 Quiet Edition,Corsair Air Series AF140 Quiet Edition 67.8 CFM  140mm Fan,24.0 dbA,CO-9050009-WW,"[17.88, 17.99, 17.99, 24.99, 24.99, 17.99]",1150 RPM,140mm,0.84 mm/H2O,20.305,corsair-case-fan-co9050009ww,140.0,67.8 ,67.8 ,67.8,1150 ,1150.0,1150.0,24.0,No,0.84
20.0 - 61.4 CFM,,Black,,Case Fan,Multi-Color,/product/w7RFf7/nzxt-aer-rgb120-614-cfm-120mm-fan-rf-ar120-b1,NZXT,Aer RGB120,NZXT Aer RGB120 61.4 CFM  120mm Fan,22.0 - 31.0 dbA,RF-AR120-B1,"[26.99, 34.99, 39.99]",500 - 1500 RPM,120mm,,33.99,nzxt-aer-rgb120-614-cfm-120mm-fan-rf-ar120-b1,120.0,20.0 - 61.4 ,61.4,20.0,500 - 1500 ,500.0,1500.0,31.0,Yes,0.0
59.1 CFM,Long Life Bearing,White,Optimized for extreme airflow - 120mm fan with minimal speeds of 1200+/- 20% RPM<br/>Low noise level of 26.8 dBA with exceptional airflow at 59.1 CFM,Case Fan,,/product/BM9KHx/nzxt-case-fan-rffz12002,NZXT,Air Flow Series,NZXT Air Flow Series 59.1 CFM  120mm Fan,26.8 dbA,RF-FZ120-02,"[8.99, 10.99, 14.42]",1200 RPM,120mm,0.71 mm/H2O,11.4666666667,nzxt-case-fan-rffz12002,120.0,59.1 ,59.1 ,59.1,1200 ,1200.0,1200.0,26.8,No,0.71
59.6 CFM,,Black,Material: Plastic<br/>Power: Air Power: 12 VDC<br/>Operation Voltage Range: 9 VDC ~ 13.5 VDC<br/>Start-up Voltage: 6 VDC<br/>Rated Voltage: 12 VDC<br/>Rated Current: 0.22 A<br/>Lock Rotor Current: 0.24 A,Case Fan,,/product/WtPfrH/apevia-case-fan-cf14sbk,Apevia,,Apevia CF14S-BK 59.6 CFM  140mm Fan,29.4 dbA,CF14S-BK,"[8.99, 13.97]",1200 RPM,140mm,,11.48,apevia-case-fan-cf14sbk,140.0,59.6 ,59.6 ,59.6,1200 ,1200.0,1200.0,29.4,No,0.0
42.4 CFM,Ball,Clear,,Case Fan,,/product/c9h9TW/antec-case-fan-pro92mmdbb,Antec,,Antec PRO 92MM DBB 42.4 CFM  92mm Fan,33.0 dbA,PRO 92MM DBB,"[7.99, 13.89, 15.99]",2600 RPM,92mm,,12.6233333333,antec-case-fan-pro92mmdbb,92.0,42.4 ,42.4 ,42.4,2600 ,2600.0,2600.0,33.0,No,0.0
28.8 - 48.9 CFM,Rifle,Black,,Case Fan,,/product/vb7wrH/be-quiet-case-fan-bl042,be quiet!,SILENT WINGS PURE,be quiet! SILENT WINGS PURE 48.9 CFM  92mm Fan,18.0 dbA,BL042,[],1600 RPM,92mm,1.70 mm/H2O,0.0,be-quiet-case-fan-bl042,92.0,28.8 - 48.9 ,48.9,28.8,1600 ,1600.0,1600.0,18.0,No,1.7
32.6 - 54.4 CFM,Rifle,Black,,Case Fan,,/product/Xnbp99/be-quiet-case-fan-bl052,be quiet!,SHADOW WINGS SW1,be quiet! SHADOW WINGS SW1 54.4 CFM  92mm Fan,16.9 dbA,BL052,[],1800 RPM,92mm,1.98 mm/H2O,0.0,be-quiet-case-fan-bl052,92.0,32.6 - 54.4 ,54.4,32.6,1800 ,1800.0,1800.0,16.9,No,1.98
151.8 CFM,,Black,PWM+TAC Sensor,Case Fan,,/product/4KyFf7/lamptron-case-fan-afb1212shepwm,Lamptron,,Lamptron AFB1212SHE-PWM 151.8 CFM  120mm Fan,58.0 dbA,AFB1212SHE-PWM,[],3700 RPM,120mm,,0.0,lamptron-case-fan-afb1212shepwm,120.0,151.8 ,151.8 ,151.8,3700 ,3700.0,3700.0,58.0,No,0.0
102.6 CFM,,Black,,Case Fan,,/product/GWV48d/lamptron-case-fan-afc0912dpwm,Lamptron,,Lamptron AFC0912D-PWM 102.6 CFM  92mm Fan,53.0 dbA,AFC0912D-PWM,[],4800 RPM,92mm,,0.0,lamptron-case-fan-afc0912dpwm,92.0,102.6 ,102.6 ,102.6,4800 ,4800.0,4800.0,53.0,No,0.0
67.0 CFM,Sleeve,Clear,,Case Fan,Red,/product/vFfmP6/thermaltake-case-fan-clf027pl14rea,Thermaltake,,Thermaltake CL-F027-PL14RE-A 67.0 CFM  140mm Fan,20.0 dbA,CL-F027-PL14RE-A,"[10.99, 13.99, 13.99, 26.28]",1000 RPM,140mm,,16.3125,thermaltake-case-fan-clf027pl14rea,140.0,67.0 ,67.0 ,67.0,1000 ,1000.0,1000.0,20.0,Yes,0.0
32.4 CFM,Ball,Black,,Case Fan,,/product/WFvRsY/evercool-case-fan-fanec8025m12ca,Evercool,,Evercool FAN-EC8025M12CA 32.4 CFM  80mm Fan,28.0 dbA,FAN-EC8025M12CA,[6.99],2500 RPM,80mm,,6.99,evercool-case-fan-fanec8025m12ca,80.0,32.4 ,32.4 ,32.4,2500 ,2500.0,2500.0,28.0,No,0.0
77.3 CFM,Sleeve,Blue,High Speed Air Flow<br/>4 Perfect Blue LEDs,Case Fan,Blue,/product/Nx648d/rosewill-case-fan-rfa120lb,Rosewill,,Rosewill RFA120L-B 77.3 CFM  120mm Fan,35.5 dbA,RFA120L-B,[],2000 RPM,120mm,,0.0,rosewill-case-fan-rfa120lb,120.0,77.3 ,77.3 ,77.3,2000 ,2000.0,2000.0,35.5,Yes,0.0
40.9 - 88.6 CFM,UFB (Updraft Floating Balance),White/Red,"Blade Geometry: Nine Colored Blades with MVB(Maelstrom Vortex Booster) Design<br/>Static Pressure: .39-1.64mm H2O<br/>Input Current: 0.14 A<br/>Rate Voltage: DC 12V<br/>Input Power: 1.8 W<br/>MTBF: &gt;150,000 h<br/>Cable Length: 400mm",Case Fan,,/product/fNK7YJ/phanteks-case-fan-phf140hprd,Phanteks,,Phanteks PH-F140HP_RD 88.6 CFM  140mm Fan,15.2 - 19.0 dbA,PH-F140HP_RD,[],600 - 1300 RPM,140mm,1.64 mm/H2O,0.0,phanteks-case-fan-phf140hprd,140.0,40.9 - 88.6 ,88.6,40.9,600 - 1300 ,600.0,1300.0,19.0,No,1.64
43.5 CFM,,Clear,,Case Fan,,/product/HYkD4D/nexus-case-fan-df1209sl3pwm,Nexus,,Nexus DF1209SL-3PWM 43.5 CFM  92mm Fan,15.8 dbA,DF1209SL-3PWM,[6.49],2500 RPM,92mm,,6.49,nexus-case-fan-df1209sl3pwm,92.0,43.5 ,43.5 ,43.5,2500 ,2500.0,2500.0,15.8,No,0.0
33.2 CFM,Sleeve,Clear,4 White LEDs implemented for bright glowing result,Case Fan,White,/product/72JwrH/rosewill-case-fan-rfa80wl,Rosewill,,Rosewill RFA-80-WL 33.2 CFM  80mm Fan,22.4 dbA,RFA-80-WL,[],2500 RPM,80mm,,0.0,rosewill-case-fan-rfa80wl,80.0,33.2 ,33.2 ,33.2,2500 ,2500.0,2500.0,22.4,Yes,0.0
44.7 CFM,Ball,Black,Long life time expectance for extreme users.<br/>Higher air flow to enhance cooling performance.<br/>Ultra silent operation at 19dBA.<br/>RoHS compliance for protecting the environment.<br/>Economic solution for perfect performance.,Case Fan,,/product/rR2kcf/cooler-master-case-fan-r4s2b124kgp,Cooler Master,Super Fan,Cooler Master Super Fan 44.7 CFM  120mm Fan,19.1 dbA,R4-S2B-124K-GP,[],1200 RPM,120mm,,0.0,cooler-master-case-fan-r4s2b124kgp,120.0,44.7 ,44.7 ,44.7,1200 ,1200.0,1200.0,19.1,No,0.0
9.9 - 24.2 CFM,2 Ball,Black,Temperature Control Sensor Adjusts Fan Speed Automatically<br/>Low Power Usage and Low Noise Level<br/>Double Ball Bearing For Extended Life,Case Fan,,/product/c37wrH/vantec-case-fan-tf6025,Vantec,,Vantec TF6025 24.2 CFM  60mm Fan,19.0 - 33.5 dbA,TF6025,[5.99],1900 - 4200 RPM,60mm,,5.99,vantec-case-fan-tf6025,60.0,9.9 - 24.2 ,24.2,9.9,1900 - 4200 ,1900.0,4200.0,33.5,No,0.0
71.3 CFM,,White,,Case Fan,,/product/LDPfrH/noiseblocker-case-fan-nbeloopb123,NoiseBlocker,,NoiseBlocker NB-ELoop B12-3 71.3 CFM  120mm Fan,27.0 dbA,NB-ELoop B12-3,[],1900 RPM,120mm,,0.0,noiseblocker-case-fan-nbeloopb123,120.0,71.3 ,71.3 ,71.3,1900 ,1900.0,1900.0,27.0,No,0.0
76.0 CFM,Fluid Circulative Bearing,Clear,"Performing max. Air flow and mini. amount of noise<br/>Less power consumption<br/>Optimized blade design to create cooling performance<br/>Reduce noise and power consumption<br/>Quad LEDs and transparent frame and blades<br/>Longer life bearing design<br/>Reliable and outstanding performance<br/>Anti-vibration rubbers attached<br/>4 pin adaptor attached<br/>Voltage Rating: 12 V<br/>Starting Voltage: 9V<br/>Life Expectance: 30,000 hrs",Case Fan,Blue,/product/dsDwrH/xigmatek-case-fan-clff2001,Xigmatek,,Xigmatek CLF-F2001 76.0 CFM  200mm Fan,18.0 dbA,CLF-F2001,[],800 RPM,200mm,,0.0,xigmatek-case-fan-clff2001,200.0,76.0 ,76.0 ,76.0,800 ,800.0,800.0,18.0,Yes,0.0
57.7 CFM,,Black,"Improve cooling and airflow to your case/system with this Apevia 120mm black silent fan. It offers incredible cooling to increase the longevity and stability of the system and components. Meanwhile, adds glamour and character to your PC.",Case Fan,,/product/8YyFf7/apevia-case-fan-12sbk,Apevia,,Apevia 12S-BK 57.7 CFM  120mm Fan,24.7 dbA,12S-BK,[],1500 RPM,120mm,,0.0,apevia-case-fan-12sbk,120.0,57.7 ,57.7 ,57.7,1500 ,1500.0,1500.0,24.7,No,0.0
25.5 CFM,,Black,Fan screws vibration dampening pads included,Case Fan,,/product/LvXfrH/silverstone-case-fan-fn81,Silverstone,,Silverstone FN81 25.5 CFM  80mm Fan,23.5 dbA,FN81,[10.23],2050 RPM,80mm,,10.23,silverstone-case-fan-fn81,80.0,25.5 ,25.5 ,25.5,2050 ,2050.0,2050.0,23.5,No,0.0
,2 Ball,Black,Long life beaning.<br/>Low noise &amp; high airflow.<br/>Low pollution(ROHS complate).,Case Fan,,/product/KVkD4D/evercool-case-fan-ec6015sh12bp,Evercool,,Evercool EC6015SH12BP 60mm Fan,38.9 dbA,EC6015SH12BP,"[8.99, 11.75]",3000 - 6000 RPM,60mm,,10.37,evercool-case-fan-ec6015sh12bp,60.0,0,0,0.0,3000 - 6000 ,3000.0,6000.0,38.9,No,0.0
,2 Ball,Black,Long life beaning.<br/>Low noise &amp; high airflow.<br/>Low pollution(ROHS complate).,Case Fan,,/product/RxphP6/evercool-case-fan-ec4015sh12bp,Evercool,,Evercool EC4015SH12BP 40mm Fan,32.0 dbA,EC4015SH12BP,[8.99],3000 - 10000 RPM,40mm,,8.99,evercool-case-fan-ec4015sh12bp,40.0,0,0,0.0,3000 - 10000 ,3000.0,10000.0,32.0,No,0.0
58.1 CFM,,White,,Case Fan,,/product/M8phP6/noiseblocker-case-fan-nbeloopb12hp,NoiseBlocker,,NoiseBlocker NB-ELoop B12-HP 58.1 CFM  120mm Fan,21.0 dbA,NB-ELoop B12-HP,[],1500 RPM,120mm,,0.0,noiseblocker-case-fan-nbeloopb12hp,120.0,58.1 ,58.1 ,58.1,1500 ,1500.0,1500.0,21.0,No,0.0
125.0 CFM,,Red,"With an ultra violet light (black light), it shines like a jewel in the dark<br/>With 4 led lights on<br/>Material: UV reactive PU plastic<br/>Static Air Pressure: 0.68mm-H2O<br/>Power:<br/>Air Power: 12 VDC<br/>Operation Voltage Range: 10.8 VDC ~ 13.2 VDC<br/>Start-up Voltage: 7 VDC<br/>Rated Voltage: 12 VDC<br/>Rated Current: 0.26 A<br/>Lock Rotor Current: 0.3 A",Case Fan,UV,/product/PyYXsY/apevia-case-fan-cf20slurd,Apevia,,Apevia CF20SL-URD 125.0 CFM  200mm Fan,20.0 dbA,CF20SL-URD,"[14.99, 14.99]",800 RPM,200mm,0.68 mm/H2O,14.99,apevia-case-fan-cf20slurd,200.0,125.0 ,125.0 ,125.0,800 ,800.0,800.0,20.0,Yes,0.68
34.0 CFM,,Transparent,,Case Fan,Blue,/product/TLrcCJ/antec-case-fan-led80xfan,Antec,,Antec LED80XFAN 34.0 CFM  80mm Fan,30.0 dbA,LED80XFAN,[],2600 RPM,80mm,,0.0,antec-case-fan-led80xfan,80.0,34.0 ,34.0 ,34.0,2600 ,2600.0,2600.0,30.0,Yes,0.0
38.1 CFM,2 Ball,Red,,Case Fan,,/product/KCH323/rosewill-case-fan-rfx80,Rosewill,,Rosewill RFX-80 38.1 CFM  80mm Fan,32.3 dbA,RFX-80,[17.44],1800 - 3000 RPM,80mm,,17.44,rosewill-case-fan-rfx80,80.0,38.1 ,38.1 ,38.1,1800 - 3000 ,1800.0,3000.0,32.3,No,0.0
5.3 CFM,,Black,,Case Fan,,/product/Cy6BD3/noiseblocker-case-fan-nbblacksilentpropm2,NoiseBlocker,,NoiseBlocker NB-BlackSilentPro PM-2 5.3 CFM  40mm Fan,18.0 dbA,NB-BlackSilentPro PM-2<br/>(or) ITR-PM-2,[],3800 RPM,40mm,,0.0,noiseblocker-case-fan-nbblacksilentpropm2,40.0,5.3 ,5.3 ,5.3,3800 ,3800.0,3800.0,18.0,No,0.0
15.8 CFM,,Black,TAC sensor,Case Fan,,/product/ywTmP6/lamptron-case-fan-ffb0412vhnf00,Lamptron,,Lamptron FFB0412VHN-F00 15.8 CFM  40mm Fan,41.9 dbA,FFB0412VHN-F00,[14.99],9500 RPM,40mm,,14.99,lamptron-case-fan-ffb0412vhnf00,40.0,15.8 ,15.8 ,15.8,9500 ,9500.0,9500.0,41.9,No,0.0
25.1 CFM,,White/Blue,,Case Fan,,/product/dqhj4D/deepcool-uf-80-251-cfm-80mm-fan-uf-80,Deepcool,,Deepcool UF 80 25.1 CFM  80mm Fan,17.8 - 24.7 dbA,UF 80,[],900 - 2200 RPM,80mm,,0.0,deepcool-uf-80-251-cfm-80mm-fan-uf-80,80.0,25.1 ,25.1 ,25.1,900 - 2200 ,900.0,2200.0,24.7,No,0.0
34.2 CFM,,White/Blue,,Case Fan,,/product/Jw7CmG/deepcool-uf-92-342-cfm-94mm-fan-uf-92,Deepcool,,Deepcool UF 92 34.2 CFM  94mm Fan,17.8 - 25.2 dbA,UF 92,[],900 - 1800 RPM,94mm,,0.0,deepcool-uf-92-342-cfm-94mm-fan-uf-92,94.0,34.2 ,34.2 ,34.2,900 - 1800 ,900.0,1800.0,25.2,No,0.0
38.4 CFM,2 Ball,Black,Rated Voltage : 12V<br/>Operating Voltage Range : 4 ~ 13.8V<br/>Input Current : 0.38 Amp<br/>Input Power : 4.56W<br/>Maximum Air Pressure : 13.81 mmH2O<br/>The Delta 60 x 25mm High Speed Fan moves more air than many 120 mm fans but is small enough to fit chipset coolers or Home Theater PC cases. The fan has RPM TAC output through its 3 Pin connector.,Case Fan,,/product/GFR48d/delta-electronics-case-fan-afb0612ehabf00,Delta Electronics,,Delta Electronics AFB0612EH-ABF00 38.4 CFM  60mm Fan,46.5 dbA,AFB0612EH-ABF00,[16.99],6800 RPM,60mm,13.81 mm/H2O,16.99,delta-electronics-case-fan-afb0612ehabf00,60.0,38.4 ,38.4 ,38.4,6800 ,6800.0,6800.0,46.5,No,13.81
